,clube_mandante,clube_visitante,placar_mandante,placar_visitante,posse_de_bola_mandante,posse_de_bola_visitante,tentativas_de_gol_mandante,tentativas_de_gol_visitante,finalizacoes_mandante,finalizacoes_visitante,chutes_fora_mandante,chutes_fora_visitante,chutes_bloqueados_mandante,chutes_bloqueados_visitante,faltas_cobradas_mandante,faltas_cobradas_visitante,escanteios_mandante,escanteios_visitante,impedimentos_mandante,impedimentos_visitante,laterais_cobrados_mandante,laterais_cobrados_visitante,defesas_de_goleiro_mandante,defesas_de_goleiro_visitante,faltas_mandante,faltas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,total_de_passes_mandante,total_de_passes_visitante,passes_completados_mandante,passes_completados_visitante,desarmes_mandante,desarmes_visitante,ataques_mandante,ataques_visitante,ataques_perigosos_mandante,ataques_perigosos_visitante,urls
70,Atlético-MG,Santos,1,1,68%,32%,16,12,4,6,8,4,4,2,18,11,5,6,1,2,20,18,5,3,11,16,4,3,0,1,601,275,532,219,19,11,136,85,50,24,https://www.flashscore.com.br/jogo/WQaEAqWO/#/resumo-de-jogo/estatisticas-de-jogo/0
71,Cuiabá,Red Bull Bragantino,1,1,43%,57%,19,8,5,4,7,3,7,1,14,13,5,4,0,0,27,20,3,4,14,15,1,3,0,0,335,450,259,368,15,22,94,113,57,40,https://www.flashscore.com.br/jogo/CpLmProI/#/resumo-de-jogo/estatisticas-de-jogo/0
72,Fluminense,Atlético-GO,0,2,47%,53%,15,17,4,9,5,3,6,5,16,10,10,6,2,3,17,19,7,4,10,13,3,2,1,0,404,484,340,411,8,22,108,92,65,28,https://www.flashscore.com.br/jogo/pUmdZS8P/#/resumo-de-jogo/estatisticas-de-jogo/0
73,Coritiba,São Paulo,1,1,40%,60%,11,16,2,4,7,5,2,7,14,12,1,10,1,1,18,19,3,1,12,13,3,3,0,0,318,468,245,391,21,11,80,125,28,61,https://www.flashscore.com.br/jogo/KjdABPGI/#/resumo-de-jogo/estatisticas-de-jogo/0
74,Fortaleza,Goiás,1,1,51%,49%,20,12,4,2,9,8,7,2,20,17,6,2,5,2,20,19,1,3,12,18,1,2,0,0,389,377,313,310,9,8,102,109,47,34,https://www.flashscore.com.br/jogo/U13cERWa/#/resumo-de-jogo/estatisticas-de-jogo/0
75,Palmeiras,Botafogo,4,0,48%,52%,14,12,6,3,5,7,3,2,15,18,7,4,3,0,20,29,3,2,16,14,1,1,0,0,390,440,326,379,22,18,100,100,37,25,https://www.flashscore.com.br/jogo/fqBpHTns/#/resumo-de-jogo/estatisticas-de-jogo/0
76,Fluminense,Atlético-MG,5,3,43%,57%,13,11,9,6,1,4,3,1,18,14,1,9,1,3,13,26,3,4,13,15,3,3,0,0,332,424,259,359,17,13,89,106,21,50,https://www.flashscore.com.br/jogo/bDPEMkPJ/#/resumo-de-jogo/estatisticas-de-jogo/0
77,Santos,Internacional,1,1,51%,49%,22,11,6,6,11,3,5,2,16,13,10,3,2,1,25,17,5,5,11,15,2,1,0,0,414,406,336,326,19,21,114,95,54,41,https://www.flashscore.com.br/jogo/8nFlGm2m/#/resumo-de-jogo/estatisticas-de-jogo/0
78,Atlético-GO,Avaí,2,1,53%,47%,13,10,5,3,6,6,2,1,12,13,8,6,1,0,20,16,2,3,12,12,1,5,0,1,428,394,340,313,13,12,103,110,62,38,https://www.flashscore.com.br/jogo/by81Don6/#/resumo-de-jogo/estatisticas-de-jogo/0
79,Red Bull Bragantino,Flamengo,1,0,32%,68%,12,13,2,3,8,8,2,2,17,13,5,7,2,1,20,23,3,1,11,16,1,4,1,0,254,551,197,490,15,13,60,119,33,79,https://www.flashscore.com.br/jogo/x4OIL9vQ/#/resumo-de-jogo/estatisticas-de-jogo/0
80,América-MG,Ceará,0,2,57%,43%,16,7,3,3,9,3,4,1,20,22,4,4,3,0,23,16,1,3,18,20,2,3,0,0,449,348,355,244,8,14,134,91,66,28,https://www.flashscore.com.br/jogo/bLJwb6nJ/#/resumo-de-jogo/estatisticas-de-jogo/0
81,Juventude,Athletico-PR,1,3,54%,46%,18,7,4,6,8,0,6,1,11,9,11,5,0,1,27,27,3,3,9,10,2,4,0,0,384,338,290,235,16,16,117,78,92,37,https://www.flashscore.com.br/jogo/jB4gF7Hg/#/resumo-de-jogo/estatisticas-de-jogo/0
